city	state	population	rank
New York	New York	8405837	1
Los Angeles	California	3884307	2
Chicago	Illinois	2718782	3
Houston	Texas	2195914	4
Philadelphia	Pennsylvania	1553165	5
Phoenix	Arizona	1513367	6
San Antonio	Texas	1409019	7
San Diego	California	1355896	8
Dallas	Texas	1257676	9
San Jose	California	998537	10
Austin	Texas	885400	11
Indianapolis	Indiana	843393	12
Jacksonville	Florida	842583	13
San Francisco	California	837442	14
Columbus	Ohio	822553	15
Charlotte	North Carolina	792862	16
Fort Worth	Texas	792727	17
Detroit	Michigan	688701	18
El Paso	Texas	674433	19
Memphis	Tennessee	653450	20
Seattle	Washington	652405	21
Denver	Colorado	649495	22
Washington	District of Columbia	646449	23
Boston	Massachusetts	645966	24
Nashville-Davidson	Tennessee	634464	25
Baltimore	Maryland	622104	26
Oklahoma City	Oklahoma	610613	27
Louisville/Jefferson County	Kentucky	609893	28
Portland	Oregon	609456	29
Las Vegas	Nevada	603488	30
Milwaukee	Wisconsin	599164	31
Albuquerque	New Mexico	556495	32
Tucson	Arizona	526116	33
Fresno	California	509924	34
Sacramento	California	479686	35
Long Beach	California	469428	36
Kansas City	Missouri	467007	37
Mesa	Arizona	457587	38
Virginia Beach	Virginia	448479	39
Atlanta	Georgia	447841	40
Colorado Springs	Colorado	439886	41
Omaha	Nebraska	434353	42
Raleigh	North Carolina	431746	43
Miami	Florida	417650	44
Oakland	California	406253	45
Minneapolis	Minnesota	400070	46
Tulsa	Oklahoma	398121	47
Cleveland	Ohio	390113	48
Wichita	Kansas	386552	49
Arlington	Texas	379577	50
New Orleans	Louisiana	378715	51
Bakersfield	California	363630	52
Tampa	Florida	352957	53
Honolulu	Hawaii	347884	54
Aurora	Colorado	345803	55
Anaheim	California	345012	56
Santa Ana	California	334227	57
St. Louis	Missouri	318416	58
Riverside	California	316619	59
Corpus Christi	Texas	316381	60
Lexington-Fayette	Kentucky	308428	61
Pittsburgh	Pennsylvania	305841	62
Anchorage	Alaska	300950	63
Stockton	California	298118	64
Cincinnati	Ohio	297517	65
St. Paul	Minnesota	294873	66
Toledo	Ohio	282313	67
Greensboro	North Carolina	279639	68
Newark	New Jersey	278427	69
Plano	Texas	274409	70
Henderson	Nevada	270811	71
Lincoln	Nebraska	268738	72
Buffalo	New York	258959	73
Jersey City	New Jersey	257342	74
Chula Vista	California	256780	75
Fort Wayne	Indiana	256496	76
Orlando	Florida	255483	77
St. Petersburg	Florida	249688	78
Chandler	Arizona	249146	79
Laredo	Texas	248142	80
Norfolk	Virginia	246139	81
Durham	North Carolina	245475	82
Madison	Wisconsin	243344	83
Lubbock	Texas	239538	84
Irvine	California	236716	85
Winston-Salem	North Carolina	236441	86
Glendale	Arizona	234632	87
Garland	Texas	234566	88
Hialeah	Florida	233394	89
Reno	Nevada	233294	90
Chesapeake	Virginia	230571	91
Gilbert	Arizona	229972	92
Baton Rouge	Louisiana	229426	93
Irving	Texas	228653	94
Scottsdale	Arizona	226918	95
North Las Vegas	Nevada	226877	96
Fremont	California	224922	97
Boise City	Idaho	214237	98
Richmond	Virginia	214114	99
San Bernardino	California	213708	100
Birmingham	Alabama	212113	101
Spokane	Washington	210721	102
Rochester	New York	210358	103
Des Moines	Iowa	207510	104
Modesto	California	204933	105
Fayetteville	North Carolina	204408	106
Tacoma	Washington	203446	107
Oxnard	California	203007	108
Fontana	California	203003	109
Columbus	Georgia	202824	110
Montgomery	Alabama	201332	111
Moreno Valley	California	201175	112
Shreveport	Louisiana	200327	113
Aurora	Illinois	199963	114
Yonkers	New York	199766	115
Akron	Ohio	198100	116
Huntington Beach	California	197575	117
Little Rock	Arkansas	197357	118
Augusta-Richmond County	Georgia	197350	119
Amarillo	Texas	196429	120
Glendale	California	196021	121
Mobile	Alabama	194899	122
Grand Rapids	Michigan	192294	123
Salt Lake City	Utah	191180	124
Tallahassee	Florida	186411	125
Huntsville	Alabama	186254	126
Grand Prairie	Texas	183372	127
Knoxville	Tennessee	183270	128
Worcester	Massachusetts	182544	129
Newport News	Virginia	182020	130
Brownsville	Texas	181860	131
Overland Park	Kansas	181260	132
